Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Total Time (hrs/day),Calls Duration (hrs/day),Apps Installed Category
40,Other,Hyderabad,Motorola,iOS,9.0,38.9,62,2.4,8012,7.7,2.0,1224,Work,25.92666666666667,4.826666666666667,Low
60,Male,Pune,Samsung,iOS,10.4,46.0,110,3.0,511,6.8,1.3,311,Social Media,22.133333333333333,0.6333333333333333,Medium
59,Other,Pune,Xiaomi,Android,11.7,9.1,101,5.8,2579,2.6,4.1,446,Gaming,27.598333333333336,3.398333333333333,Low
46,Other,Chennai,Samsung,Android,8.1,15.5,77,5.9,1776,3.4,2.5,899,Social Media,23.346666666666664,3.4466666666666668,Low
16,Female,Hyderabad,Vivo,Android,1.4,25.5,141,1.6,1119,2.8,0.4,1118,Gaming,9.9,3.7,Medium
29,Female,Bangalore,Realme,Android,7.0,41.7,130,1.4,2604,3.5,1.6,1154,Education,14.35,0.85,Medium
36,Male,Hyderabad,Vivo,iOS,5.6,47.4,123,5.9,1886,2.3,3.0,955,Work,19.39,2.5900000000000003,Medium
15,Male,Delhi,Vivo,Android,9.2,42.7,180,0.5,4611,1.0,2.5,210,Gaming,17.048333333333332,3.8483333333333336,High
41,Other,Jaipur,Realme,Android,8.1,44.1,25,1.9,5545,5.7,3.7,1488,Education,20.76333333333333,1.3633333333333333,Very Low
51,Female,Kolkata,Vivo,iOS,10.7,45.1,127,3.5,2293,6.7,5.0,333,Education,27.466666666666665,1.5666666666666669,Medium
45,Female,Hyderabad,Realme,Android,6.3,34.5,125,5.0,1647,5.9,0.2,1541,Entertainment,21.47166666666667,4.071666666666667,Medium
39,Female,Jaipur,Motorola,Android,4.0,9.4,32,1.5,8314,6.7,3.5,447,Entertainment,18.936666666666667,3.2366666666666664,Very Low
40,Female,Lucknow,OnePlus,Android,8.4,25.7,174,1.3,3010,4.9,3.0,419,Education,21.98,4.38,High
28,Female,Chennai,Xiaomi,iOS,5.3,16.8,84,1.3,9222,7.2,3.0,1699,Social Media,21.215,4.415,Low
23,Female,Chennai,Motorola,Android,11.4,48.4,98,3.2,5026,2.7,4.9,1079,Gaming,25.813333333333336,3.6133333333333337,Low
57,Male,Delhi,Vivo,iOS,4.1,31.2,149,5.1,386,3.9,1.0,1935,Social Media,15.125,1.025,Medium
23,Female,Ahmedabad,Vivo,iOS,10.7,29.0,175,2.9,633,6.4,0.0,1345,Social Media,20.15,0.15,High
56,Other,Kolkata,Nokia,Android,9.4,42.1,113,4.9,498,0.9,4.3,982,Work,23.611666666666665,4.111666666666666,Medium
20,Other,Chennai,Samsung,iOS,11.9,45.5,150,4.1,479,5.6,1.7,169,Education,26.563333333333333,3.2633333333333336,Medium
22,Other,Kolkata,Google Pixel,Android,1.6,34.1,153,5.8,5175,5.7,2.2,805,Work,15.4,0.1,High
19,Male,Kolkata,Apple,iOS,5.5,2.9,129,5.6,8514,7.9,0.8,647,Education,23.34166666666667,3.5416666666666665,Medium
49,Other,Lucknow,Samsung,iOS,5.2,43.4,114,5.6,3826,6.8,3.1,1192,Social Media,23.230000000000004,2.53,Medium
54,Male,Ahmedabad,Vivo,iOS,2.2,22.0,156,1.8,8307,1.1,3.0,1788,Social Media,8.613333333333333,0.5133333333333333,High
40,Male,Bangalore,Vivo,iOS,2.5,10.6,113,1.8,238,0.9,2.2,1924,Work,11.051666666666666,3.6516666666666655,Medium
52,Female,Kolkata,Xiaomi,iOS,4.4,33.8,44,3.8,1869,3.6,2.4,1382,Social Media,17.355,3.155,Very Low
42,Other,Mumbai,Google Pixel,iOS,4.2,3.4,108,3.3,5178,1.3,4.8,322,Education,16.46,2.86,Medium
23,Other,Hyderabad,Samsung,iOS,4.3,26.4,53,5.3,1250,7.5,0.6,314,Entertainment,21.208333333333336,3.5083333333333333,Very Low
51,Other,Mumbai,Samsung,iOS,10.7,17.6,65,5.2,3313,1.8,1.3,1319,Education,23.89,4.89,Low
19,Male,Bangalore,Realme,iOS,3.1,24.8,75,3.9,1396,2.0,1.6,1245,Social Media,11.968333333333334,1.3683333333333332,Low
52,Other,Delhi,Xiaomi,Android,1.5,41.0,140,5.5,8029,5.0,0.1,802,Social Media,13.691666666666666,1.5916666666666666,Medium
17,Other,Lucknow,Apple,iOS,4.7,30.4,187,2.6,9189,4.3,4.9,801,Entertainment,19.12833333333333,2.628333333333333,High
31,Female,Ahmedabad,Nokia,iOS,10.4,41.1,171,3.5,7702,7.1,0.8,1833,Education,22.34166666666667,0.5416666666666666,High
49,Other,Jaipur,OnePlus,Android,8.6,46.0,154,1.6,4264,7.5,0.4,1142,Social Media,21.13,3.03,High
21,Male,Delhi,Motorola,iOS,9.4,15.4,34,2.5,3130,2.5,4.8,1882,Education,19.376666666666665,0.1766666666666666,Very Low
51,Male,Lucknow,OnePlus,iOS,5.4,15.8,115,3.2,2929,3.0,2.7,1772,Social Media,16.228333333333335,1.9283333333333332,Medium
32,Other,Mumbai,Vivo,iOS,5.8,27.5,193,4.0,948,5.6,4.6,122,Social Media,20.5,0.5,High
43,Other,Bangalore,Xiaomi,iOS,8.6,14.4,27,4.7,9544,3.6,3.4,1395,Work,24.891666666666666,4.591666666666667,Very Low
25,Male,Bangalore,OnePlus,Android,5.6,38.0,40,1.5,799,1.0,2.4,1831,Work,15.441666666666666,4.941666666666666,Very Low
16,Female,Pune,Nokia,iOS,9.0,7.1,164,4.9,6088,2.1,1.9,686,Work,20.281666666666663,2.381666666666667,High
49,Male,Pune,Motorola,iOS,3.4,17.0,52,2.8,7018,7.3,4.7,2000,Education,22.12333333333333,3.923333333333333,Very Low
35,Male,Hyderabad,Xiaomi,iOS,3.0,8.3,18,2.5,9494,3.1,4.6,479,Gaming,17.418333333333333,4.218333333333333,Very Low
49,Male,Pune,Apple,Android,4.5,1.9,197,4.3,3575,6.7,0.0,679,Entertainment,16.408333333333335,0.9083333333333332,High
34,Female,Kolkata,Apple,iOS,3.5,20.6,73,5.6,2918,3.0,1.0,329,Entertainment,15.333333333333332,2.2333333333333334,Low
38,Other,Jaipur,Oppo,iOS,1.3,9.0,36,2.0,5666,4.0,4.1,1605,Education,13.395,1.995,Very Low
38,Female,Ahmedabad,OnePlus,iOS,3.2,13.2,31,3.2,3342,4.2,0.3,1005,Work,14.338333333333336,3.438333333333333,Very Low
41,Female,Delhi,Realme,Android,2.5,9.3,69,0.6,2918,6.5,1.9,1699,Education,13.35,1.85,Low
41,Female,Bangalore,Samsung,iOS,8.3,19.4,25,5.8,9918,5.3,3.5,782,Education,26.14166666666667,3.2416666666666667,Very Low
30,Female,Ahmedabad,Samsung,Android,1.7,10.4,64,2.5,468,4.9,4.1,1361,Work,14.433333333333334,1.2333333333333334,Low
43,Male,Kolkata,Google Pixel,iOS,3.0,24.3,143,1.1,4443,6.3,0.3,546,Education,13.228333333333332,2.5283333333333333,Medium
40,Female,Kolkata,Samsung,Android,4.2,28.1,62,4.1,8932,7.3,0.8,209,Social Media,16.548333333333336,0.1483333333333333,Low
18,Male,Delhi,Oppo,iOS,5.3,10.4,116,2.3,4368,7.6,4.2,1359,Gaming,23.68333333333333,4.283333333333333,Medium
24,Female,Delhi,Apple,iOS,11.2,14.7,158,1.4,563,2.3,3.5,1845,Work,22.425,4.025,High
51,Female,Lucknow,Oppo,Android,11.9,47.8,68,4.3,7945,2.3,3.8,1749,Social Media,22.65833333333333,0.3583333333333333,Low
23,Other,Kolkata,Motorola,iOS,5.2,34.6,140,4.3,5816,7.8,2.8,1406,Gaming,22.755000000000003,2.655,Medium
43,Other,Kolkata,Realme,Android,6.9,3.0,117,3.1,1883,5.2,1.8,108,Gaming,18.24333333333333,1.2433333333333332,Medium
31,Male,Ahmedabad,Google Pixel,iOS,6.8,26.2,150,5.1,1073,1.1,0.8,1393,Work,15.041666666666666,1.2416666666666667,Medium
56,Female,Delhi,Oppo,Android,6.1,20.7,117,1.6,3672,3.2,2.1,430,Gaming,13.386666666666663,0.3866666666666666,Medium
51,Female,Ahmedabad,Samsung,iOS,9.2,45.9,129,3.7,5449,1.0,3.8,1222,Entertainment,22.6,4.9,Medium
19,Other,Kolkata,Motorola,iOS,6.0,42.2,101,3.1,4606,2.2,3.9,705,Entertainment,18.416666666666668,3.216666666666667,Low
26,Other,Pune,Xiaomi,iOS,11.1,1.3,52,0.6,1308,4.7,1.1,1104,Social Media,18.365,0.865,Very Low
28,Male,Chennai,Xiaomi,iOS,5.7,49.5,190,2.1,8715,7.9,3.2,195,Gaming,20.53666666666667,1.6366666666666667,High
37,Other,Pune,OnePlus,iOS,10.5,33.0,92,4.0,8284,1.3,4.1,781,Work,21.05,1.15,Low
42,Other,Lucknow,Google Pixel,Android,1.8,9.2,19,3.5,4648,3.7,0.6,1691,Education,11.393333333333333,1.7933333333333332,Very Low
46,Other,Pune,Realme,Android,10.0,30.8,179,3.9,3003,4.9,2.4,472,Entertainment,22.96,1.76,High
52,Male,Jaipur,Samsung,iOS,5.0,46.6,56,4.6,7151,4.1,2.2,554,Education,18.01833333333333,2.118333333333333,Very Low
23,Female,Hyderabad,Samsung,Android,4.5,44.3,166,2.2,9243,1.2,4.4,1355,Entertainment,17.281666666666666,4.9816666666666665,High
25,Female,Hyderabad,Nokia,Android,5.0,26.4,78,4.0,3751,1.7,4.4,1249,Entertainment,18.715,3.615,Low
39,Female,Ahmedabad,Nokia,Android,2.4,14.6,84,1.6,1401,3.6,2.0,1081,Education,9.758333333333333,0.1583333333333333,Low
43,Other,Lucknow,Vivo,iOS,11.4,45.5,28,1.1,6568,7.4,0.5,505,Social Media,23.985,3.585,Very Low
39,Male,Jaipur,Samsung,Android,8.8,40.8,190,2.8,5779,6.6,1.3,1767,Social Media,23.453333333333337,3.953333333333333,High
38,Male,Lucknow,Oppo,Android,1.8,49.9,95,5.2,5891,6.4,0.1,1401,Gaming,14.955,1.4549999999999998,Low
46,Other,Lucknow,Motorola,Android,6.7,15.8,187,1.2,2427,6.4,2.5,1186,Gaming,18.815,2.015,High
33,Male,Jaipur,Vivo,Android,10.9,38.0,198,3.0,305,5.1,2.7,324,Education,26.256666666666668,4.556666666666667,High
51,Other,Delhi,Nokia,Android,10.5,28.4,86,1.2,1305,7.1,1.7,1479,Gaming,23.544999999999995,3.045,Low
57,Other,Pune,Nokia,iOS,10.8,39.2,126,4.0,526,4.7,1.2,1610,Entertainment,21.176666666666662,0.4766666666666667,Medium
59,Male,Pune,Google Pixel,Android,2.3,11.6,136,2.9,6699,1.5,4.2,1239,Entertainment,11.771666666666665,0.8716666666666666,Medium
21,Other,Kolkata,Vivo,Android,7.2,29.6,88,1.4,9995,1.1,0.4,1727,Gaming,13.11,3.01,Low
17,Other,Hyderabad,Motorola,Android,11.8,35.2,140,0.7,856,7.0,2.0,1474,Entertainment,23.35333333333333,1.8533333333333333,Medium
22,Male,Mumbai,Google Pixel,Android,8.0,12.9,113,3.9,2936,4.7,0.0,443,Work,17.98166666666667,1.3816666666666668,Medium
25,Male,Bangalore,Apple,iOS,1.5,25.9,62,4.5,9363,7.5,0.2,809,Entertainment,14.105,0.405,Low
29,Female,Kolkata,Motorola,Android,7.8,42.5,17,4.2,1972,3.7,3.3,990,Social Media,20.19333333333333,1.1933333333333331,Very Low
31,Female,Pune,Apple,iOS,10.9,41.1,157,4.2,9043,2.8,3.4,431,Education,25.85666666666667,4.556666666666667,High
39,Male,Pune,Apple,Android,8.4,46.3,180,5.6,3881,7.0,0.1,1254,Social Media,24.026666666666667,2.9266666666666667,High
15,Other,Mumbai,Realme,iOS,10.5,39.3,137,2.2,8230,3.1,3.1,687,Work,20.185,1.285,Medium
21,Male,Delhi,Apple,Android,3.6,5.5,200,4.5,5214,7.7,3.8,1129,Entertainment,20.110000000000003,0.51,High
56,Male,Hyderabad,Motorola,iOS,11.6,31.6,150,2.0,7124,6.7,3.4,1037,Entertainment,25.751666666666665,2.0516666666666667,Medium
29,Female,Jaipur,Xiaomi,iOS,4.8,8.4,62,5.9,1373,1.4,0.8,1216,Gaming,17.116666666666667,4.216666666666667,Low
58,Female,Chennai,Xiaomi,Android,7.9,7.9,34,1.0,1875,3.5,0.4,1983,Social Media,13.108333333333334,0.3083333333333333,Very Low
40,Other,Chennai,Xiaomi,Android,5.5,42.8,142,3.6,8911,4.4,3.7,1226,Work,18.03333333333333,0.8333333333333334,Medium
38,Other,Hyderabad,Realme,iOS,4.5,20.9,198,0.5,5339,0.6,3.3,767,Social Media,9.946666666666664,1.0466666666666666,High
32,Other,Delhi,OnePlus,Android,9.2,43.4,55,3.5,3082,4.6,3.9,1338,Work,25.89666666666666,4.696666666666667,Very Low
28,Female,Hyderabad,Samsung,Android,9.3,48.8,190,1.4,1623,7.6,2.9,1839,Education,22.986666666666665,1.7866666666666666,High
57,Male,Jaipur,Nokia,Android,9.6,49.4,47,2.7,5899,6.0,2.5,414,Gaming,25.085,4.285,Very Low
43,Female,Jaipur,Oppo,iOS,1.2,20.5,13,3.0,4570,5.3,3.2,206,Social Media,16.76833333333333,4.068333333333333,Very Low
54,Other,Hyderabad,Google Pixel,Android,8.0,24.5,163,1.5,2640,3.8,1.1,1580,Social Media,15.828333333333331,1.4283333333333337,High
15,Other,Pune,Oppo,iOS,8.5,18.6,30,5.8,7615,6.8,2.5,448,Education,25.58,1.98,Very Low
27,Male,Jaipur,Apple,iOS,1.5,7.8,151,1.1,5508,3.4,2.8,392,Education,9.645,0.8450000000000001,Medium
56,Male,Chennai,Realme,Android,5.2,3.5,101,5.5,8684,5.8,0.5,1627,Entertainment,17.111666666666668,0.1116666666666666,Low
15,Other,Jaipur,Nokia,Android,8.9,13.9,51,5.4,7174,0.7,1.7,1837,Education,18.35333333333333,1.653333333333333,Very Low
19,Female,Chennai,Motorola,iOS,7.2,16.0,191,1.9,6130,4.8,1.8,1202,Gaming,18.425,2.725,High
31,Other,Mumbai,Realme,iOS,7.5,29.2,141,4.5,1991,1.3,1.1,1936,Work,18.721666666666668,4.321666666666667,Medium
44,Other,Chennai,Nokia,iOS,10.8,15.8,81,3.1,8153,7.3,1.6,1350,Gaming,25.34,2.54,Low
53,Male,Hyderabad,Google Pixel,Android,1.4,28.9,179,3.9,1032,4.5,2.1,254,Entertainment,16.32,4.42,High
46,Other,Mumbai,Samsung,iOS,5.9,38.1,186,2.1,684,4.5,1.2,1562,Social Media,16.11,2.41,High
25,Other,Hyderabad,OnePlus,iOS,3.7,49.5,77,4.2,9444,1.8,0.2,1268,Entertainment,12.575,2.675,Low
49,Male,Pune,Google Pixel,Android,10.1,9.4,125,0.7,5893,4.2,4.6,837,Social Media,20.758333333333336,1.1583333333333334,Medium
23,Female,Pune,Oppo,iOS,10.1,6.1,198,5.8,3598,1.6,3.9,1054,Work,22.546666666666667,1.1466666666666667,High
24,Male,Delhi,Samsung,Android,6.1,9.0,126,1.0,1035,3.2,1.3,944,Gaming,15.61,4.01,Medium
21,Male,Mumbai,Oppo,iOS,6.5,1.5,196,2.1,1824,1.8,1.8,727,Entertainment,14.116666666666667,1.9166666666666667,High
39,Female,Delhi,Apple,iOS,4.8,22.6,71,5.3,5852,3.6,3.6,1574,Work,20.71666666666667,3.4166666666666665,Low
50,Female,Delhi,Motorola,iOS,3.7,48.7,52,3.9,7916,2.7,2.1,905,Social Media,13.355,0.955,Very Low
25,Other,Hyderabad,OnePlus,Android,5.2,37.5,23,3.1,3433,6.6,2.0,147,Education,20.541666666666664,3.6416666666666666,Very Low
21,Other,Lucknow,Vivo,Android,2.9,27.6,85,1.8,6866,3.3,4.2,1149,Entertainment,15.568333333333332,3.368333333333333,Low
39,Female,Hyderabad,Google Pixel,iOS,7.7,6.6,39,4.9,5299,7.9,2.5,1795,Social Media,24.968333333333334,1.9683333333333333,Very Low
48,Male,Chennai,Apple,iOS,5.0,22.5,143,2.1,708,7.6,2.9,1389,Social Media,19.246666666666663,1.6466666666666667,Medium
18,Other,Lucknow,Apple,Android,3.7,40.8,167,0.8,4554,0.9,4.2,411,Social Media,13.366666666666667,3.7666666666666666,High
56,Male,Jaipur,Nokia,iOS,4.4,11.9,68,5.7,716,2.6,0.3,715,Entertainment,13.505000000000004,0.505,Low
43,Other,Lucknow,Samsung,iOS,2.4,42.1,143,4.8,3847,5.6,4.4,1760,Work,19.65333333333333,2.453333333333333,Medium
59,Male,Ahmedabad,Xiaomi,Android,8.8,31.1,122,2.8,3840,4.1,3.4,267,Entertainment,22.708333333333336,3.608333333333333,Medium
33,Male,Ahmedabad,Apple,iOS,8.2,34.4,177,5.2,8751,0.7,3.0,850,Gaming,19.98333333333333,2.8833333333333333,High
19,Male,Lucknow,Vivo,Android,4.1,14.3,193,4.9,977,6.2,0.2,512,Social Media,17.64333333333333,2.243333333333333,High
59,Female,Kolkata,Xiaomi,Android,1.5,5.3,83,4.8,151,6.9,0.4,1849,Gaming,18.381666666666668,4.781666666666666,Low
49,Male,Jaipur,Nokia,Android,1.8,14.2,138,3.4,4034,8.0,2.5,1130,Education,18.645,2.945,Medium
53,Female,Bangalore,Xiaomi,Android,8.1,22.6,48,2.8,1175,5.0,2.2,176,Gaming,21.90833333333333,3.808333333333333,Very Low
49,Other,Lucknow,Motorola,Android,11.7,42.6,150,5.6,6184,6.3,0.6,1980,Social Media,27.841666666666665,3.6416666666666666,Medium
57,Other,Chennai,Motorola,iOS,1.1,23.3,10,0.8,2170,4.1,2.6,1653,Social Media,9.285,0.685,Very Low
45,Male,Mumbai,Vivo,iOS,6.7,26.1,137,4.9,8216,5.6,1.3,306,Social Media,20.79166666666667,2.2916666666666665,Medium
18,Male,Hyderabad,Apple,Android,6.0,16.7,43,2.9,4640,5.2,4.6,1497,Entertainment,22.063333333333336,3.3633333333333337,Very Low
42,Male,Chennai,Google Pixel,Android,5.5,49.4,117,1.4,9032,2.0,4.5,332,Entertainment,14.328333333333331,0.9283333333333332,Medium
39,Male,Hyderabad,Oppo,Android,3.1,9.3,199,2.6,8547,1.4,3.5,186,Social Media,13.355,2.7550000000000003,High
60,Male,Pune,Samsung,Android,11.8,40.7,75,2.0,837,2.3,1.8,387,Education,20.148333333333337,2.248333333333333,Low
16,Other,Chennai,Samsung,iOS,7.9,6.8,38,2.8,5468,7.7,4.2,1304,Entertainment,23.76333333333333,1.163333333333333,Very Low
51,Male,Delhi,Realme,iOS,1.7,26.0,33,5.7,8873,4.0,1.3,1318,Social Media,14.04,1.34,Very Low
50,Other,Delhi,Motorola,iOS,3.8,15.6,183,0.9,4894,0.7,4.2,1740,Work,14.015,4.415,High
29,Female,Lucknow,Vivo,iOS,3.9,19.0,106,1.0,9942,3.3,0.3,612,Social Media,9.573333333333334,1.0733333333333337,Medium
51,Female,Lucknow,OnePlus,Android,7.3,44.2,80,0.5,6983,6.1,2.5,1150,Gaming,19.92333333333333,3.523333333333333,Low
50,Other,Ahmedabad,Nokia,iOS,5.4,15.1,130,5.6,3470,5.3,2.2,1047,Social Media,19.176666666666662,0.6766666666666666,Medium
34,Other,Kolkata,OnePlus,Android,1.9,1.4,34,2.5,2706,0.9,4.4,287,Social Media,12.826666666666668,3.1266666666666665,Very Low
16,Other,Jaipur,Motorola,iOS,11.5,41.2,122,4.8,206,3.1,1.2,1935,Education,25.173333333333336,4.573333333333333,Medium
35,Female,Hyderabad,Xiaomi,iOS,7.9,33.3,90,5.8,8385,6.2,4.0,633,Work,24.73333333333333,0.8333333333333334,Low
39,Male,Pune,Oppo,Android,7.2,12.1,58,1.9,5116,7.6,4.5,1271,Social Media,25.89666666666667,4.696666666666667,Low
38,Male,Jaipur,Nokia,iOS,5.0,27.2,152,1.8,1111,0.7,4.0,578,Work,14.28,2.78,Medium
34,Other,Mumbai,Realme,iOS,9.4,9.7,19,4.0,7564,3.2,2.1,1003,Work,20.313333333333336,1.6133333333333333,Very Low
58,Other,Mumbai,Apple,iOS,7.1,43.3,57,2.6,8474,2.0,0.9,160,Gaming,16.741666666666667,4.141666666666667,Very Low
40,Other,Chennai,Vivo,iOS,9.9,14.7,121,3.6,3870,5.2,3.8,258,Social Media,24.633333333333333,2.1333333333333333,Medium
20,Female,Jaipur,Google Pixel,iOS,9.0,6.0,49,0.7,8615,0.8,2.3,223,Education,15.098333333333334,2.2983333333333333,Very Low
29,Male,Chennai,Oppo,iOS,10.1,33.3,40,2.5,8182,4.9,0.2,621,Gaming,20.505,2.805,Very Low
29,Other,Chennai,Oppo,iOS,8.1,37.9,93,4.0,7142,5.5,0.1,157,Gaming,21.340000000000003,3.64,Low
33,Other,Ahmedabad,Google Pixel,iOS,3.6,36.2,52,4.9,639,7.9,3.0,1480,Gaming,20.79833333333333,1.3983333333333334,Very Low
28,Other,Hyderabad,Samsung,Android,11.1,35.3,182,5.6,7845,3.3,2.2,1813,Social Media,22.82333333333333,0.6233333333333333,High
28,Female,Jaipur,Samsung,iOS,7.5,20.6,188,3.7,7816,3.4,3.0,952,Social Media,21.01833333333333,3.418333333333333,High
47,Male,Mumbai,Nokia,iOS,8.7,25.7,14,5.3,2252,4.6,3.7,757,Education,25.575,3.275,Very Low
39,Female,Chennai,Google Pixel,Android,12.0,32.2,16,4.1,1414,0.8,3.6,233,Entertainment,21.098333333333336,0.5983333333333333,Very Low
47,Male,Chennai,Samsung,Android,5.0,26.6,21,3.8,2485,7.6,0.6,1723,Social Media,21.168333333333333,4.168333333333333,Very Low
19,Other,Mumbai,Xiaomi,Android,11.7,6.2,20,3.3,3667,6.1,4.2,722,Social Media,26.66166666666667,1.3616666666666668,Very Low
54,Male,Hyderabad,Google Pixel,iOS,8.7,30.9,173,3.0,2456,6.8,2.3,1716,Social Media,25.57333333333333,4.7733333333333325,High
44,Female,Ahmedabad,Nokia,Android,3.7,26.1,119,2.8,957,2.4,1.8,590,Work,15.291666666666668,4.591666666666667,Medium
52,Female,Lucknow,OnePlus,Android,2.2,18.7,132,1.1,1903,5.4,0.2,1804,Social Media,10.925,2.025,Medium
43,Male,Pune,Nokia,Android,5.4,21.2,140,3.3,8206,7.9,1.0,1178,Social Media,21.67,4.069999999999999,Medium
50,Male,Kolkata,OnePlus,iOS,4.0,9.2,53,5.7,6357,0.7,1.2,1479,Work,16.061666666666664,4.461666666666667,Very Low
30,Male,Mumbai,Realme,Android,5.8,15.2,10,2.5,1605,4.7,0.2,897,Entertainment,15.133333333333333,1.9333333333333331,Very Low
38,Other,Hyderabad,Samsung,Android,5.1,18.7,147,3.3,5150,6.5,0.7,408,Social Media,16.723333333333333,1.1233333333333335,Medium
33,Female,Hyderabad,Realme,Android,4.3,44.9,176,5.2,3146,2.2,0.2,1484,Work,12.978333333333332,1.0783333333333334,High
53,Female,Pune,Google Pixel,Android,4.9,6.5,181,5.1,7676,3.3,0.6,1150,Work,17.226666666666667,3.3266666666666667,High
56,Male,Kolkata,OnePlus,iOS,10.4,47.4,127,1.8,126,5.3,1.3,319,Social Media,21.60333333333333,2.803333333333333,Medium
58,Female,Pune,Oppo,Android,5.4,14.8,58,5.0,3633,1.7,4.6,703,Entertainment,18.466666666666665,1.7666666666666666,Low
31,Female,Lucknow,Apple,iOS,11.8,35.5,91,4.4,4462,0.8,2.8,858,Entertainment,22.000000000000004,2.2,Low
42,Female,Mumbai,Realme,Android,10.2,21.4,175,1.1,2252,3.4,1.1,716,Work,20.738333333333333,4.9383333333333335,High
48,Female,Chennai,Google Pixel,Android,9.4,35.8,160,1.6,8873,5.1,1.6,882,Work,21.975,4.275,High
51,Female,Delhi,Nokia,iOS,6.1,46.3,89,2.1,6856,5.3,0.9,1328,Entertainment,15.035,0.635,Low
58,Female,Jaipur,Motorola,Android,4.5,7.3,174,2.6,8052,7.3,2.4,779,Gaming,18.911666666666665,2.111666666666667,High
32,Other,Hyderabad,Vivo,Android,1.6,9.1,120,3.7,2559,6.0,1.3,1557,Gaming,14.635000000000002,2.035,Medium
41,Female,Delhi,Samsung,iOS,4.6,49.0,28,4.8,8197,6.9,4.4,1969,Social Media,22.186666666666664,1.4866666666666668,Very Low
20,Male,Jaipur,Realme,Android,5.0,33.3,70,3.1,2828,3.7,2.1,418,Social Media,14.371666666666666,0.4716666666666667,Low
52,Other,Hyderabad,Nokia,iOS,2.1,50.0,126,2.7,5500,6.4,3.9,739,Entertainment,17.863333333333337,2.7633333333333336,Medium
53,Other,Mumbai,Google Pixel,Android,3.3,43.2,140,1.3,1248,3.5,0.0,846,Social Media,9.813333333333333,1.7133333333333334,Medium
23,Male,Chennai,Xiaomi,iOS,8.4,8.0,51,4.3,6406,3.1,0.1,953,Education,17.97,2.07,Very Low
36,Male,Hyderabad,Google Pixel,Android,3.0,41.0,95,1.8,627,1.7,4.0,1407,Social Media,13.64,3.14,Low
34,Female,Kolkata,Nokia,Android,3.9,43.6,193,0.8,2430,1.9,4.0,1128,Gaming,15.536666666666664,4.9366666666666665,High
